,uuid,fam_0,fam_1,fam_2,fam_3,form1,form2,form3,form4,score0,score1,score2,score3,SA0,SA1,SA2,SA3
1,55c5f7e5-12d7-463a-9721-ab403dd628d6,2.0,1.0,1.0,1.0,0,2,1,3,1,3,2,2,1,2,1,2
2,b907c5c4-2835-4324-a327-e90cac448617,0.0,0.0,0.0,0.0,1,3,2,0,2,2,1,2,0,2,1,2
3,1d305254-59b4-4f77-9adf-5a4dc9418355,2.0,1.0,1.0,0.0,1,3,2,0,3,0,1,2,1,1,0,0
4,61c103a6-9791-47a4-99ad-c64ff0c3d6af,0.0,1.0,1.0,0.0,2,0,3,1,3,2,3,2,1,2,2,2
5,7f92268c-5741-4ff3-9013-72661c83b79e,1.0,1.0,1.0,1.0,1,3,2,0,2,1,2,2,2,1,0,2
6,ea5192a8-a3cf-4d71-8cf3-3d87dccc9fe0,0.0,1.0,0.0,0.0,3,1,0,2,1,3,1,2,0,2,1,2
7,cf355a7a-907e-4bf3-91df-f5b1619ec0a6,1.0,1.0,1.0,2.0,3,1,0,2,1,1,3,3,1,0,1,2
8,b20b5948-a424-4536-9d42-b5565ba74e0b,1.0,2.0,1.0,1.0,2,0,3,1,2,2,1,3,0,1,1,2
9,5411c91e-a90f-4473-8e24-2358fd0248a8,0.0,1.0,1.0,0.0,0,2,1,3,3,2,2,3,2,2,2,1
10,a4371d88-3b32-4d44-b3f0-f5df89ce9e37,1.0,1.0,1.0,1.0,0,2,1,3,1,0,3,3,2,1,1,0
11,c299690e-5e53-425d-85ce-388ecb404ef5,0.0,0.0,0.0,0.0,0,2,1,3,2,1,3,3,0,1,1,2
12,9d4ad05f-b6d4-486b-a6e3-c61594d8864d,0.0,0.0,1.0,1.0,0,2,1,3,3,1,3,3,2,2,0,0
13,b820edad-cbbb-40f3-b024-2df1dd9fe25a,0.0,0.0,2.0,1.0,0,2,1,3,2,3,2,3,1,2,2,2
14,623f0d54-e557-4cb5-b093-50476902eef9,0.0,0.0,0.0,0.0,3,1,0,2,2,2,3,0,2,2,1,1
15,8fa7e3b2-73d4-4331-93a3-535ac08b092b,1.0,1.0,1.0,2.0,2,0,3,1,1,2,0,3,0,2,2,1
16,07bda9be-6d2d-4d35-bede-062134b3055b,1.0,1.0,1.0,1.0,1,3,2,0,0,1,1,3,0,2,0,2
17,3ec8bfd8-527c-4960-928d-ebd3b356f69a,1.0,0.0,1.0,1.0,1,3,2,0,0,1,2,1,1,0,0,0
18,8c467ce9-19de-4c37-baed-23c1462db74a,0.0,1.0,1.0,1.0,2,0,3,1,3,3,3,2,0,2,0,0
19,e5cfd190-f269-4fbf-80d7-59b3490004fe,0.0,0.0,1.0,1.0,2,0,3,1,1,2,2,3,0,1,0,2
20,5988faf8-6166-4a8f-93e8-d099376431bc,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,2,0,1,1,1
21,9d74c3ad-d180-41d6-810f-84baf588a810,0.0,0.0,0.0,0.0,2,0,3,1,0,1,2,2,1,1,2,0
22,35d04404-803a-45d9-a22a-6ec2bbfdf63c,1.0,0.0,0.0,0.0,3,1,0,2,1,2,1,1,0,0,0,0
23,58e9335d-2c13-4766-a2ba-63f39e833f1f,1.0,1.0,1.0,1.0,1,3,2,0,3,0,1,3,0,2,1,0
24,60870561-535c-455e-a3ff-e9f83e795b36,1.0,1.0,1.0,1.0,3,1,0,2,1,1,2,3,0,1,2,1
25,846249eb-c741-4320-bea9-b3e4dfed11d5,0.0,0.0,0.0,0.0,0,2,1,3,3,3,2,2,2,1,2,2
26,3dc3a939-6ed2-4ddf-8ccc-976a778e49fa,1.0,2.0,1.0,2.0,1,3,2,0,3,3,2,2,2,2,2,2
27,c6da08b6-ed35-4153-8ca3-515e1ce29023,0.0,0.0,1.0,0.0,1,3,2,0,3,3,2,3,2,2,2,2
28,b8a3b9ff-7c45-4b69-b7ac-c9fea99e5c87,0.0,0.0,1.0,1.0,0,2,1,3,3,1,2,1,2,2,2,1
